id_proposicao,obj_votacao,data,cod_sessao,hora,id_votacao
2199763,PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-08-13,16894,22:24,168942224
2199763,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-13,16894,20:32,168942032
2199763,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-08-13,16893,19:25,168931925
2199763,"DTQ 5 - PSC - ART. 18 DO PLV À MP Nº 881/2019, QUE INCLUI ART. 82-A...",2019-08-14,16896,19:30,168961930
2199763,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCAMINHAMENTO,2019-08-13,16894,21:47,168942147
2199763,"DTQ 8 - PT - §3º, ART. 74 DO DECRETO DE LEI Nº 5.452/1943...",2019-08-14,16896,19:11,168961911
2199763,"DTQ 9 - PT - § 4º, ART. 50 DA LEI Nº 10.406/2002...",2019-08-14,16895,17:31,168951731
2199763,DTQ 10 - PT - ART. 70 DO DECRETO LEI Nº 5.452/1943...,2019-08-14,16895,18:47,168951847
2199763,DTQ 20 - PCdoB - ART. 68 CONTIDO NO ART. 28 DO PLV,2019-08-14,16895,18:09,168951809
2199763,DTQ 27 - PSOL - ART. 67 CONST. DO ART. 28 DO PLV,2019-08-14,16895,17:59,168951759
2199763,EMENDA AGLUTINATIVA Nº 1,2019-08-13,16894,22:52,168942252
2199763,EMA 4 - EMENDA AGLUTINATIVA Nº 4,2019-08-14,16895,18:27,168951827
2199763,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-14,16895,17:12,168951712
2200900,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 10.940/2018,2019-11-06,16982,17:06,169821706
2201529,REQUERIMENTO DE RETIRADA DE PAUTA,2019-06-25,16843,17:43,168431743
2201532,SUBSTITUTIVO DA CCJ,2019-06-25,16844,20:13,168442013
2201532,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-06-25,16843,19:41,168431941
2202987,CRÉDITO SUPLEMENTAR - PODER JUDICIÁRIO E MINISTÉRIO PÚBLICO,2019-10-08,16952,19:33,169521933
2202987,PROJETO DE LEI DO CONGRESSO NACIONAL,2019-10-08,16952,19:19,169521919
2202987,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 48 HORAS,2019-10-08,16952,18:34,169521834
