id_parlamentar,casa,nome_eleitoral,uf,partido_atual,partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
178992,camara,VITOR LIPPI,SP,PSDB,PSDB,1000000,1077228,0.0163659621882216
160569,camara,WALDENOR PEREIRA,BA,PT,PT,900000,948676.18,0.00955583682541757
178952,camara,WALTER ALVES,RN,MDB,MDB,1552000,1611327.83,0.0117894892410663
160518,camara,WELITON PRADO,MG,PROS,PROS,1633400,1785386.31,0.0668564595591269
74043,camara,WELLINGTON ROBERTO,PB,PL,PL,1660000,1660000,0.0121150561715122
74439,camara,WOLNEY QUEIROZ,PE,PDT,PDT,665000,753210.98,0.0369070645804958
178889,camara,ZÉ CARLOS,MA,PT,PT,885120,920076.67,0.0077023237924256
160632,camara,ZÉ SILVA,MG,SOLIDARIEDADE,SOLIDARIEDADE,1103699.68,1774659.84,0.0459591312378063
160592,camara,ZECA DIRCEU,PR,PT,PT,893787.19,993715.71,0.0104873027650726
204554,camara,ABÍLIO SANTANA,BA,PL,PHS,34500,37750,0.00455798831123414
204521,camara,ABOU ANNI,SP,PSL,PSL,18474.57,447044.57,0.0039063535519411
204379,camara,ACÁCIO FAVACHO,AP,PROS,PROS,720316.3,807712.3,0.0214952021900009
