congressperson_name,congressperson_id,twitter_profile,secondary_twitter_profile,facebook_page
LUIZ CARLOS RAMOS,178802,,,https://www.facebook.com/luizcarlosramosfilhoamoraosanimais
LUIZ CLÁUDIO,178955,,,https://www.facebook.com/luizclaudiodaagricultura
LUIZ COUTO,74041,luizcoutopt,,https://www.facebook.com/luizcoutopt
LUIZ FERNANDO FARIA,141487,depluizfernando,,https://www.facebook.com/deputadoluizfernando
LUIZ LAURO FILHO,178982,luizlaurofilho,,https://www.facebook.com/dep.luizlaurofilho
LUIZ NISHIMORI,162332,luiznishimori,,https://www.facebook.com/nishimoriluiz
LUIZ NOÉ,161962,luiznoe,,https://www.facebook.com/luiznoe
LUIZ PITIMAN,160550,luizpitiman,,https://www.facebook.com/LuizPitimanOficial
LUIZ SÉRGIO,74688,,,https://www.facebook.com/luizsergio.pt
LUIZA ERUNDINA,74784,luizaerundina,,https://www.facebook.com/luizaerundina4021
LUIZIANNE LINS,178866,Luizianne13PT,,https://www.facebook.com/deputadaluiziannelins
LÁZARO BOTELHO,141480,LazaroBotelho,,https://www.facebook.com/dep.lazaro
LÚCIO VALE,141484,luciovalepa ,,https://www.facebook.com/LucioVale2222
MACEDO,178867,,,https://www.facebook.com/profile.php?id=100009238007113&fref=mentions
MAGDA MOFATTO,166402,Magdamofatto,,https://www.facebook.com/MagdaMofatto.Goias
MAIA FILHO,151965,josemaiafilho,,https://www.facebook.com/maiafilho11
MAJOR OLIMPIO,178826,majorolimpio,,https://www.facebook.com/olimpio.major
MANDETTA,160633,depmandetta,,https://www.facebook.com/henriquemandetta
MANOEL SALVIANO,74456,depsalviano,,https://www.facebook.com/depfedmanoelsalviano.sobrinho
MARA GABRILLI,160565,maragabrilli,,https://www.facebook.com/maragabrilli
MARCELO AGUIAR,160660,MarceloAguiarMA,MarceloAguiarNW,https://www.facebook.com/MarceloAguiarOficial
MARCELO ARO,146788,marceloaro,,https://www.facebook.com/marceloaro
MARCELO CASTRO,74460,MarceloCastroPI,,https://www.facebook.com/MarceloCastro15
MARCELO DELAROLI,195826,,,https://www.facebook.com/MarceloDelaroliOficial
MARCELO MATOS,76287,,,https://www.facebook.com/deputadomarcelomatos
MARCELO SQUASSONI,118594,,,https://www.facebook.com/marcelo.squassoni
MARCELO ÁLVARO ANTÔNIO,179000,Marceloalvaroan,,https://www.facebook.com/marceloalvaroantonio
MARCIO ALVINO,178983,AlvinoMarcio,,https://www.facebook.com/marcioalvino
MARCO ANTÔNIO CABRAL,178942,,,https://www.facebook.com/marcoantonio.nevescabral
MARCO MAIA,133373,DepMarcoMaia,,https://www.facebook.com/depmarcomaia
MARCO TEBALDI,160536,mtebaldi,,https://www.facebook.com/matebaldi
MARCON,160535,depmarcon,,https://www.facebook.com/Marcon-Deputado-730105823714253
MARCOS ABRÃO,178880,,,https://www.facebook.com/MarcosAbrao
MARCOS MONTES,141500,DepMarcosMontes,,https://www.facebook.com/deputadomarcosmontes
MARCOS REATEGUI,178852,marcos_reategui‏,,https://www.facebook.com/DepMarcosReategui
MARCOS ROGÉRIO,167722,MarcosRogerio,,https://www.facebook.com/profile.php?id=100008179053573
MARCOS SOARES,178943,,,https://www.facebook.com/DeputadoMarcosSoares
MARCUS PESTANA,159238,marcus_pestana,,https://www.facebook.com/depmarcuspestana
MARCUS VICENTE,74235,,,https://www.facebook.com/dep.marcusvicente
MARGARIDA SALOMÃO,171619,JFMargarida,,https://www.facebook.com/jfmargarida
MARIA DO ROSÁRIO,74398,mariadorosario,,https://www.facebook.com/DeputadaMariaDoRosario
MARIA HELENA,64960,depmariahelena,,https://www.facebook.com/deputadamariahelena
MARIANA CARVALHO,178956,MarianaPSDB,,https://www.facebook.com/marianacarvalho45
MARINA SANTANNA,164361,marinasantanna,deputadamarina,https://www.facebook.com/marinasantanna.face
MARINALDO ROSENDO,178919,MarinaldoRosend,,https://www.facebook.com/marinaldo.rosendo
MARINHA RAUPP,74177,DepMarinhaRaupp,,https://www.facebook.com/MarinhaRaupp
MARLLOS SAMPAIO,121759,marllossampaio,,https://www.facebook.com/marllossampaio
MARÇAL FILHO,74124,Marcal_Oficial,,https://www.facebook.com/marcalfilhoms
MAURO BENEVIDES,73588,maurobenevide,,https://www.facebook.com/maurobenevides03
MAURO LOPES,74749,depmaurolopes,,https://www.facebook.com/familiamaurolopes
MAURO MARIANI,141507,Mauro_Mariani,,https://www.facebook.com/deputadomauromariani
MAURO NAZIF,141508,drmauronazif,,https://www.facebook.com/maurorasul
MAURO PEREIRA,124411,,,https://www.facebook.com/pg/mauropereirapmdb
MAURÍCIO QUINTELLA LESSA,74050,Depquintella,,https://www.facebook.com/mauricioquintella.lessa
MAURÍCIO TRINDADE,141506,depmt,,https://www.facebook.com/mauricio.trindadesecretario
MENDES RIBEIRO FILHO,73904,mendes_ribeiro,,https://www.facebook.com/mendesribeirofilho
MENDONÇA FILHO,74428,mendonca_filho,,https://www.facebook.com/mendoncafilhoPE
MENDONÇA PRADO,74056,mendoncaprado,,https://www.facebook.com/MendoncaPrado
MIGUEL HADDAD,178984,miguelmhaddad,,https://www.facebook.com/miguelmhaddad
MIGUEL LOMBARDI,178985,DMiguellombardi,,https://www.facebook.com/miguellombardi.deputadofederal
MILTON MONTI,74787,miltonmonti,,https://www.facebook.com/depmiltonmonti
MIRIQUINHO BATISTA,160644,miriquinho,,https://www.facebook.com/miriquinho
MIRO TEIXEIRA,74862,,,https://www.facebook.com/miroteixeira9000
