cnpj,id_parlamentar_voz,data_entrada_sociedade
08887596000103,1204562,2007-05-23
08939560000118,174400,2007-07-05
08953794000110,1107283,2007-07-06
08954263000141,1160601,2007-04-27
08986793000171,1160511,2007-07-19
08999166000175,1178896,2007-09-06
09009586000120,1178884,2007-08-17
09016922000161,1178989,2007-08-01
09026239000105,1204391,2007-08-20
09040929000119,1204372,2008-09-23
09070823000168,1204563,2007-09-21
09075190000180,1204465,2007-09-04
09088339000166,173701,2007-08-30
09116847000100,1204518,2007-09-21
09144093000100,1160541,2007-10-22
09147464000108,1160666,2007-10-22
09149611000170,1204439,2007-10-24
09173161000151,1160666,2007-11-05
09185741000169,1204465,2007-11-08
09195749000106,1204406,2007-08-10
09196509000126,1178921,2007-11-12
09205412000132,1204372,2007-11-06
09228640000128,1204543,2007-10-30
09228640000209,1204543,2007-10-30
09229175000140,1204465,2007-10-09
09237305000196,1204489,2007-12-04
09301418000103,174052,2008-01-10
09310875000164,1204532,2008-01-07
09337992000111,1160655,2007-11-14
09342398000119,1108338,2017-07-03
09343389000142,1204543,2008-11-17
09343389000223,1204543,2008-11-17
09343389000304,1204543,2008-11-17
09343389000495,1204543,2008-11-17
09343389000576,1204543,2008-11-17
09343389000657,1204543,2008-11-17
09343389000738,1204543,2008-11-17
09343389000819,1204543,2008-11-17
09343389000908,1204543,2008-11-17
09349081000104,1204543,2007-12-07
09349081000295,1204543,2007-12-07
09349081000376,1204543,2007-12-07
09349081000457,1204543,2007-12-07
09349081000538,1204543,2007-12-07
09349081000619,1204543,2007-12-07
09364746000159,174043,1980-11-05
09483773000140,1204419,2013-03-12
09483773000221,1204419,2013-03-12
09483773000302,1204419,2013-03-12
09483773000493,1204419,2013-03-12
09503178000120,174305,2009-10-08
09503178000200,174305,2009-10-08
09503178000391,174305,2009-10-08
09503178000472,174305,2009-10-08
09503178000553,174305,2009-10-08
09503178000634,174305,2009-10-08
09503178000715,174305,2009-10-08
09503178000804,174305,2009-10-08
09568118000195,174158,2008-04-07
09574875000171,192699,2008-05-14
09574875000171,190201,2009-02-12
09579793000110,1204541,2008-04-28
09580070000130,1160666,2008-02-27
09581722000151,1112437,2016-03-11
09602926000121,1204497,2008-05-29
09610923000130,1160601,2008-04-03
09612147000107,1160601,2008-06-03
09614390000164,1137070,2008-05-29
10194650000179,174537,2008-06-05
10197403000126,1204543,2009-02-11
10205235000173,1141434,2005-09-12
10242091000125,1204432,2008-08-01
10254428000114,1160666,2008-08-01
10256613000148,1160601,2007-07-04
10281584000174,1204367,2008-08-12
10292507000110,1178948,2018-08-17
10305810000100,1204447,2008-07-15
10306842000120,1204543,2008-08-18
10348550000150,1141421,2004-09-21
10372312000180,1133439,2008-09-17
10377389000142,1204365,2008-09-26
10450332000121,1204403,2008-10-23
10460205000103,174574,2008-11-07
10481617000120,1141553,2008-10-31
10499070000190,1141531,2007-09-25
10505234000144,1178934,2018-04-20
10505234000225,1178934,2018-04-20
10505234000306,1178934,2018-04-20
10505234000497,1178934,2018-04-20
10505234000578,1178934,2018-04-20
10505234000659,1178934,2018-04-20
10505234000730,1178934,2018-04-20
10515329000149,1204447,2008-12-03
10527643000141,174537,2008-12-10
10532559000116,1160601,2008-11-27
10532559000205,1160601,2008-11-27
10532559000388,1160601,2008-11-27
10532559000469,1160601,2008-11-27
10532559000540,1160601,2008-11-27
10532559000620,1160601,2008-11-27
10532559000701,1160601,2008-11-27
10542425000186,1178879,2008-10-21
10543728000113,1178959,2008-12-19
10582056000155,1160673,2008-12-30
10619694000101,1204543,2009-11-13
10630104000133,1204434,2015-01-20
10653669000136,1178930,2009-02-13
10687295000170,1178912,2013-09-06
10700690000145,1204499,2009-02-19
10700690000226,1204499,2009-02-19
10728820000158,1160655,2009-03-25
10728820000239,1160655,2009-03-25
10728820000310,1160655,2009-03-25
10741848000125,1204456,2013-08-15
10752269000188,174467,1996-02-23
10765915000141,2742,1994-05-11
10772398000138,1195866,2009-04-07
10778205000156,1160559,2009-04-03
10778205000237,1160559,2009-04-03
10783713000122,1178930,2009-04-14
10788264000105,1204354,2009-04-23
10788471000160,1141508,2009-04-28
10827305000125,1178984,2009-08-03
10858205000166,1204356,2009-05-19
10964161000159,174471,2010-08-24
10968204000174,1204393,2006-01-16
10968204000255,1204393,2006-01-16
10968204000336,1204393,2006-01-16
10968204000417,1204393,2006-01-16
10968204000506,1204393,2006-01-16
10968204000689,1204393,2006-01-16
10968204000760,1204393,2006-01-16
10968204000840,1204393,2006-01-16
10968204000921,1204393,2006-01-16
10968204001065,1204393,2006-01-16
10968204001146,1204393,2006-01-16
10968204001227,1204393,2006-01-16
10968204001308,1204393,2006-01-16
10968204001499,1204393,2006-01-16
10968204001570,1204393,2006-01-16
10968204001650,1204393,2006-01-16
10968204001731,1204393,2006-01-16
10968204001812,1204393,2006-01-16
10968204001901,1204393,2006-01-16
10968204002037,1204393,2006-01-16
10968204002118,1204393,2006-01-16
10968204002207,1204393,2006-01-16
10968204002380,1204393,2006-01-16
10968204002460,1204393,2006-01-16
10968204002541,1204393,2006-01-16
10968204002622,1204393,2006-01-16
10968204002703,1204393,2006-01-16
10968204002894,1204393,2006-01-16
10968204002975,1204393,2006-01-16
10968204003190,1204393,2006-01-16
10968204003351,1204393,2006-01-16
10970659000124,1204450,2009-06-16
10973494000144,1204414,2010-05-13
10982372000114,1160510,2010-01-19
10991120000151,1133439,2012-04-10
10991173000172,192699,2009-07-23
10999105000150,1204419,2019-04-23
11002500000189,1160667,2009-07-23
11010336000151,1160669,2009-07-21
11010336000232,1160669,2009-07-21
11010336000313,1160669,2009-07-21
11010336000402,1160669,2009-07-21
11016943000129,1178996,2009-07-27
11017668000168,1204381,2010-09-13
11017877000101,1204381,2010-09-13
11028561000115,1160655,2009-07-24
11036843000164,1204386,2016-03-23
11059695000101,1160534,2009-08-07
11077821000142,1178996,2009-08-11
11080134000186,1204576,2009-08-21
11127999000150,1151208,2014-05-27
11193246000143,1178879,2014-07-09
11196777000190,25376,2009-09-28
11248900000179,1178934,2012-10-31
11248900000250,1178934,2012-10-31
11279865000155,174158,2009-11-03
11289977000197,1204576,2009-11-04
11292373000108,1204511,2009-11-06
